person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,default_probability,risk_band
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.9888713,High
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.99470806,High
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.04386977,Low
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.023748646,Low
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.17236839,Low
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.04034408,Low
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.12790893,Low
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.016447952,Low
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.9920704,High
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.9993032,High
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.9915245,High
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.99875283,High
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.99903524,High
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.1277936,Low
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.9962586,High
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.0032363404,Low
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.0015557709,Low
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.99211955,High
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.9871273,High
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,0.9934809,High
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.98721236,High
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.9819902,High
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.9895176,High
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.99423075,High
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.0017164578,Low
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.4724818,Medium
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.9972138,High
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.98130506,High
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.98083156,High
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.9992428,High
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,0.9954501,High
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.05411861,Low
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.032376792,Low
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.02313341,Low
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.9958497,High
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.9836083,High
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.98371786,High
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.9805439,High
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.9920574,High
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.99944407,High
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0.022533549,Low
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.064766996,Low
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.002982707,Low
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.02942528,Low
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.04769261,Low
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.016539985,Low
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.98167175,High
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.9859313,High
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.009602489,Low
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.010448655,Low
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.09993461,Low
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.0033054308,Low
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.039378546,Low
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.05340821,Low
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,0.9993362,High
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.9992269,High
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.98583555,High
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.9856549,High
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.9797347,High
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.9834351,High
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.98785365,High
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.021893818,Low
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.15633829,Low
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.021797108,Low
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.97252715,High
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.9903368,High
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.9765446,High
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.9966462,High
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.9979656,High
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.98474276,High
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.99098927,High
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.9934428,High
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.9892848,High
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.99119043,High
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.97728765,High
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0.1141856,Low
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.0024187947,Low
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.037360277,Low
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0.018782984,Low
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.02485797,Low
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.9671727,High
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.9926766,High
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.006455769,Low
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.003081106,Low
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,0.99295056,High
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.98438936,High
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.9870552,High
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.00015039236,Low
24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,0.029656332,Low
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.047838666,Low
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.9977314,High
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.9830111,High
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.9944254,High
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.98322004,High
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.98632485,High
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,0.13022836,Low
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.96700644,High
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.9782658,High
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.07989183,Low
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.0012655377,Low
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.22079761,Medium
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.0005962177,Low
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.054061156,Low
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.055150453,Low
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2,0.012615805,Low
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.011081411,Low
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.999529,High
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,Y,4,0.99911004,High
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.98070335,High
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.9842106,High
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0.020105528,Low
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0.15155944,Low
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0.63350844,High
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0.16847181,Low
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0.019116959,Low
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,0.998987,High
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0.026902629,Low
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0.356059,Medium
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0.0959967,Low
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.0051403744,Low
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.002842703,Low
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,0.8155625,High
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4,0.99584854,High
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,0.38199866,Medium
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,0.99476886,High
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,0.998212,High
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,0.99857414,High
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,0.09488959,Low
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,0.99972457,High
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0.0020409827,Low
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0.0010072931,Low
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,0.0020916834,Low
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0.0007749471,Low
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,0.004179919,Low
23,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,N,4,0.9925177,High
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,0.9951633,High
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,0.99785787,High
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,0.1303479,Low
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,0.99853146,High
